# archive_url	http://securitydigest.org/phage/#archives
# archive_title	'Phage List' - Archives (1988 - 1989)
file    | date                        | subject | author | level
410.txt | Thu 03:34:13 03/11/1988 EST | [no subject] | foo | 0
000.txt | Thu 08:18:03 03/11/1988 EST | Virus alert! | Gene Spafford | 0
001.txt | Thu 10:36:28 03/11/1988 EST | More on the virus | Gene Spafford | 0
012.txt | Thu 21:40:04 03/11/1988 EST | Re: More on the virus | Frederick M. Avolio | 1
002.txt | Thu 14:50:52 03/11/1988 EST | Yet more on the virus | Gene Spafford | 0
003.txt | Thu 15:57:36 03/11/1988 EST | Re: Yet more on the virus | Keith Bostic | 1
006.txt | Thu 18:46:28 03/11/1988 EST | Re: Yet more on the virus | Edward Vielmetti | 2
009.txt | Thu 20:11:32 03/11/1988 EST | Re: Yet more on the virus | Matt Crawford | 3
014.txt | Thu 21:26:53 03/11/1988 EST | Re: Yet more on the virus | Edward Vielmetti | 4
387.txt | Fri 02:59:00 04/11/1988 EST | Re: Yet more on the virus | Matt Crawford | 5
005.txt | Thu 19:37:02 03/11/1988 EST | Re: Yet more on the virus | Tim Becker | 1
010.txt | Thu 21:13:56 03/11/1988 EST | Re: Yet more on the virus | Bill Sommerfeld | 2
011.txt | Thu 21:30:02 03/11/1988 EST | Re: Yet more on the virus | Frederick M. Avolio | 1
004.txt | Thu 17:16:31 03/11/1988 EST | virus | Bill Nesheim | 0
383.txt | Thu 17:32:07 03/11/1988 EST | DDN MGT Bulletin # 43 | DDN Reference | 0
007.txt | Thu 19:45:04 03/11/1988 EST | damn, whoever it was did a good job. | Paul A. Vixie | 0
008.txt | Thu 20:41:21 03/11/1988 EST | Re:  damn, whoever it was did a good job. | Tim Seaver | 1
013.txt | Thu 21:20:10 03/11/1988 EST | A worm "condom" enclosed. | Gene Spafford | 0
384.txt | Thu 22:17:10 03/11/1988 EST | Re:  A worm "condom" enclosed. | Douglas Comer | 1
390.txt | Fri 08:07:39 04/11/1988 EST | Re: A worm "condom" enclosed. | Dwight D. McKay | 2
385.txt | Thu 23:09:14 03/11/1988 EST | Re: A worm "condom" enclosed. | Gene Spafford | 2
016.txt | Thu 21:39:20 03/11/1988 EST | Problem with sendmail binary patch | Tim Becker | 0
015.txt | Thu 22:04:15 03/11/1988 EST | A cure!!!!! | Gene Spafford | 0
